athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm_bad,weight_kg_bad,notes,height_cm,weight_kg
ATH-04168,Sifan Yamamoto,Female,42,2/14/1982,RSA,South Africa,Freestyle Skiing,Moguls W,Winter,1936,Garmisch-Partenkirchen,Individual,No Medal,93.159,points,2,0,0,0,0,23,90,1904,30,No,Sandor Szabo,169.6,67,-,2.20626E-74,7.9849E-30
ATH-04169,Yohan Alekseyev,Male,39,4/16/1985,IRI,Iran,Skeleton,Men's Skeleton,Winter,1948,St. Moritz,Individual,No Medal,173.739,seconds,4,5,3,0,2,19,60,1948,34,No,Valentin Lalev,184.6,86.9,-,6.74899E-81,1.8189E-38
ATH-04170,Camelia Cherono,Female,39,11/2/1985,SWE,Sweden,Alpine Skiing,Giant Slalom M,Winter,1924,Chamonix,Individual,No Medal,204.343,seconds,4,3,3,0,0,200,648,1896,4,No,Virgilijus Alekna,172.5,88.1,Season Best,1.21395E-75,5.47843E-39
ATH-04171,Yuki Grigoryan,Male,41,6/10/1983,BEL,Belgium,Speed Skating,5000m M,Winter,1948,St. Moritz,Individual,No Medal,216.628,seconds,5,4,3,1,0,43,158,1900,20,No,Bob Bowman,193.6,60.1,Photo-finish silver,8.32891E-85,7.92322E-27
ATH-04172,Luis Amiranashvili,Male,31,4/19/1993,BRA,Brazil,Taekwondo,+80kg M,Summer,2000,Sydney,Individual,No Medal,8.995,points,4,4,3,0,1,37,152,1920,20,No,Jon Drummond,191.3,93,Equipment issue,8.30741E-84,4.07956E-41
ATH-04173,Ondrej Sokolov,Male,18,3/9/2006,POL,Poland,Cross-Country Skiing,4x5km Relay W,Winter,1924,Chamonix,Individual,No Medal,4622.736,seconds,4,1,1,0,0,72,297,1924,9,No,Virgilijus Alekna,171.5,84.7,-,3.29987E-75,1.64156E-37
ATH-04174,Aysel Mammadov,Female,19,8/7/2005,CUB,Cuba,Figure Skating,Ice Dance,Winter,1972,Sapporo,Individual,No Medal,259.658,points,4,0,0,0,0,82,226,1900,8,No,Gennadi Touretski,171.8,65.5,Olympic Debut,2.4446E-75,3.57859E-29
ATH-04175,John Adeyemi,Male,15,7/16/2009,SUI,Switzerland,Alpine Skiing,Downhill M,Winter,1924,Chamonix,Individual,No Medal,256.856,seconds,3,7,6,0,1,70,203,1896,12,No,Alberto Salazar,163.8,100,-,7.28725E-72,3.72008E-44
ATH-04176,Haile Lee,Male,22,9/11/2002,GRE,Greece,Cycling,Sprint,Summer,1896,Athens,Individual,No Medal,6036.3,seconds,1,2,1,1,0,34,116,1896,10,No,John Smith,190.3,76.4,-,2.25819E-83,6.60544E-34
ATH-04177,Mihai Shah,Male,29,8/8/1995,BUL,Bulgaria,Volleyball,Men's Indoor Volleyball,Summer,1912,Stockholm,Team,No Medal,14.563,points,2,5,1,3,1,54,224,1896,15,No,Renato Canova,194.4,86.6,First from country,3.74242E-85,2.45526E-38
ATH-04178,Irina Gebrselassie,Female,32,3/6/1992,ARMinistration,Armenia,Rowing,Pair W,Summer,2020,Tokyo,Team,No Medal,474.23,seconds,5,3,1,1,1,4,18,1996,50,No,Alberto Salazar,177.2,78.4,Personal Best,1.10412E-77,8.93949E-35
ATH-04179,Jae-won Gupta,Male,27,5/9/1997,NOR,Norway,Cycling,Individual Time Trial,Summer,2012,London,Individual,No Medal,9867.577,seconds,4,6,4,2,0,148,392,1900,2,No,Marcus O'Sullivan,190.8,70.6,-,1.36966E-83,2.18177E-31
ATH-04180,Tomasz Biles,Male,32,11/8/1992,THA,Thailand,Shooting,Skeet W,Summer,2024,Paris,Individual,No Medal,166.999,points,4,2,0,1,1,13,35,1952,40,No,Yury Zakharevich,167.9,80.5,Withdrew - injury,1.20769E-73,1.0947E-35
ATH-04181,George Sargsyan,Male,30,10/10/1994,IND,India,Ski Jumping,Mixed Team,Winter,1936,Garmisch-Partenkirchen,Individual,Bronze,113.843,metres,5,1,0,0,1,10,35,1900,48,No,Béla Károlyi,175.6,51.1,National Record,5.46876E-77,6.42025E-23
ATH-04182,Lasha Babayev,Male,36,12/27/1988,BUL,Bulgaria,Tennis,Men's Doubles,Summer,1906,Athens,Individual,No Medal,4.796,sets,5,0,0,0,0,54,224,1896,15,No,Andrei Chemerkin,190.5,79.2,Youngest competitor,1.84885E-83,4.01677E-35
ATH-04183,Ketevan Müller,Female,42,12/1/1982,VEN,Venezuela,Cross-Country Skiing,15km M,Winter,1952,Oslo,Team,No Medal,5132.426,seconds,2,6,3,0,3,2,14,1948,58,No,Andrei Chemerkin,167.4,77.3,Youngest competitor,1.99115E-73,2.68557E-34
ATH-04184,Vahram Martinez,Male,21,8/10/2003,FIN,Finland,Luge,Men's Singles,Winter,1980,Lake Placid,Individual,No Medal,100.417,seconds,5,8,3,5,0,161,459,1908,3,No,Valentin Lalev,190.7,61,Withdrew - injury,1.51371E-83,3.22134E-27
ATH-04185,Florent Williams,Male,41,12/9/1983,CAN,Canada,Biathlon,Individual W,Winter,1928,St. Moritz,Team,No Medal,3266.407,seconds,5,3,0,0,3,118,381,1900,6,No,Andrei Socaci,167.2,79.3,-,2.43199E-73,3.63452E-35
ATH-04186,Hyun-soo Lee,Male,26,7/15/1998,FRA,France,Judo,Lightweight,Summer,1908,London,Individual,Gold,3.49,ippon,3,2,1,0,1,248,844,1896,3,No,Sandor Szabo,184.2,59.6,Disqualified (false start),1.00683E-80,1.30632E-26
ATH-04187,Alina Williams,Female,34,1/22/1990,BUL,Bulgaria,Judo,Half-Lightweight,Summer,1896,Athens,Individual,No Medal,4.687,ippon,5,1,1,0,0,54,224,1896,15,No,Arthur Lydiard,193.5,78.8,-,9.20487E-85,5.99232E-35
ATH-04188,Elena Müller,Female,35,9/20/1989,KOR,South Korea,Ski Jumping,Normal Hill Team,Winter,1992,Albertville,Team,Gold,143.86,metres,3,5,1,1,3,99,266,1948,5,No,Lauren Lynde,177.7,66.4,Final Appearance,6.69685E-78,1.45494E-29
ATH-04189,Anjali Farah,Female,26,2/15/1998,CUB,Cuba,Gymnastics (Artistic),Parallel Bars,Summer,1900,Paris,Individual,No Medal,13.768,points,3,2,0,2,0,82,226,1900,8,No,Sandor Szabo,152.3,63.9,-,7.19367E-67,1.77249E-28
ATH-04190,Ketevan Johnson,Female,21,4/12/2003,JAM,Jamaica,Taekwondo,-49kg W,Summer,2008,Beijing,Individual,No Medal,14.463,points,3,8,0,1,7,28,94,1948,22,No,Khristo Hristov,183.6,69.6,First from country,1.83457E-80,5.93067E-31
ATH-04191,Priya Sargsyan,Female,25,7/20/1999,GBR,Great Britain,Gymnastics (Artistic),Vault,Summer,1906,Athens,Individual,No Medal,14.736,points,2,6,1,1,4,285,896,1896,2,No,Hiroshi Hoketsu,165.6,73.7,Record broken next day,1.20457E-72,9.82871E-33
ATH-04192,Natalya Schneider,Female,34,10/25/1990,KOR,South Korea,Freestyle Skiing,Aerials W,Winter,1980,Lake Placid,Individual,Gold,92.033,points,1,3,3,0,0,99,266,1948,5,No,Li Yongbo,173.1,76.2,-,6.66232E-76,8.0679E-34
ATH-04193,Ashley Hakobyan,Female,41,8/28/1983,GER,Germany,Curling,Mixed Doubles Curling,Winter,2010,Vancouver,Team,No Medal,11.803,points,4,1,1,0,0,275,854,1896,2,No,Gennadi Touretski,191.4,91.2,-,7.51685E-84,2.46799E-40
ATH-04194,Deepika Melnyk,Female,39,11/6/1985,SWE,Sweden,Wrestling,Freestyle 97kg,Summer,1896,Athens,Individual,Silver,8.9,points,1,7,4,1,2,200,648,1896,4,No,Andrei Socaci,192.6,107,Weather-affected,2.26403E-84,3.39227E-47
ATH-04195,Andrei Constantin,Male,36,2/7/1988,MEX,Mexico,Judo,Mixed Team,Summer,2008,Beijing,Individual,No Medal,7.716,ippon,5,6,6,0,0,14,72,1924,35,No,Bao Chünlai,194,90.9,Technical violation,5.58304E-85,3.33144E-40
ATH-04196,Mykola Singh,Male,17,8/11/2007,BEL,Belgium,Ski Jumping,Normal Hill Individual,Winter,1964,Innsbruck,Team,No Medal,116.265,metres,1,8,7,0,1,43,158,1900,20,No,Percy Cerutty,184.6,56.8,Season Best,6.74899E-81,2.14819E-25
ATH-04197,Lars Dupont,Male,24,2/28/2000,CUB,Cuba,Volleyball,Men's Indoor Volleyball,Summer,2016,Rio de Janeiro,Team,No Medal,15.281,points,1,2,0,0,2,82,226,1900,8,No,Andrei Chemerkin,179,70.4,Final Appearance,1.8251E-78,2.66482E-31
ATH-04198,Kiran Smith,Male,38,10/24/1986,TUR,Turkey,Basketball,3x3 Women's,Summer,2024,Paris,Team,No Medal,13.873,points,2,6,1,1,4,40,99,1908,22,No,Bao Chünlai,195.4,124.9,Personal Best,1.37676E-85,5.70978E-55
ATH-04199,Nino Gonzalez,Male,20,2/5/2004,CAN,Canada,Basketball,3x3 Men's,Summer,2016,Rio de Janeiro,Team,Gold,17.134,points,2,6,6,0,0,118,381,1900,6,No,Lauren Lynde,182.2,99,Personal Best,7.43953E-80,1.01122E-43
ATH-04200,Henrik Ionescu,Male,37,7/20/1987,POR,Portugal,Ice Hockey,Men's Ice Hockey,Winter,1964,Innsbruck,Team,No Medal,7.282,goals,2,2,2,0,0,6,29,1912,50,Olympic Record,Virgilijus Alekna,183.9,94.3,Equipment issue,1.35908E-80,1.11181E-41
ATH-04201,Mykola Suzuki,Male,39,7/24/1985,CAN,Canada,Alpine Skiing,Combined W,Winter,1928,St. Moritz,Individual,Silver,366.218,seconds,5,8,2,6,0,118,381,1900,6,No,Andrei Socaci,176.3,94.6,Withdrew - injury,2.71571E-77,8.23649E-42
ATH-04202,Arjun Martin,Male,16,2/24/2008,BUL,Bulgaria,Freestyle Skiing,Ski Cross M,Winter,1968,Grenoble,Individual,No Medal,56.417,points,5,4,4,0,0,54,224,1896,15,World Record,Virgilijus Alekna,170.3,65.2,Record broken next day,1.09559E-74,4.83059E-29
ATH-04203,Justyna Müller,Female,39,9/6/1985,AUS,Australia,Archery,Team W,Summer,1900,Paris,Individual,No Medal,256.348,points,3,6,5,1,0,170,554,1896,4,No,Dan Pfaff,172.5,64.5,Technical violation,1.21395E-75,9.7276E-29
ATH-04204,Miho Gupta,Female,20,4/2/2004,CHN,China,Luge,Men's Singles,Winter,1980,Lake Placid,Team,No Medal,86.273,seconds,3,7,3,1,3,263,636,1932,1,No,Gennadi Touretski,181.5,72,Final Appearance,1.49814E-79,5.38019E-32
ATH-04205,Nigar Kravchenko,Female,21,9/21/2003,ITA,Italy,Cycling,BMX Racing,Summer,1912,Stockholm,Individual,No Medal,8249.006,seconds,1,0,0,0,0,247,753,1900,4,No,Percy Cerutty,174.7,74,Technical violation,1.3451E-76,7.28129E-33
ATH-04206,David Suzuki,Male,41,3/1/1983,TPE,Chinese Taipei,Biathlon,Individual M,Winter,1968,Grenoble,Individual,No Medal,1625.664,seconds,5,6,6,0,0,7,25,1956,45,No,Li Yongbo,194.6,87.4,Personal Best,3.06404E-85,1.10322E-38
ATH-04207,Kipchoge Popov,Male,35,1/25/1989,URS,Soviet Union,Alpine Skiing,Slalom M,Winter,1992,Albertville,Individual,No Medal,78.852,seconds,1,2,0,0,2,473,1122,1952,1,No,Lauren Lynde,181.1,68.7,-,2.23496E-79,1.45871E-30
ATH-04208,Oleksandr Munkhbat,Male,20,2/25/2004,SUI,Switzerland,Cycling,Road Race,Summer,1896,Athens,Individual,Bronze,4393.303,seconds,5,9,8,0,1,70,203,1896,12,No,Andrei Chemerkin,170.8,58.4,Disqualified (false start),6.64511E-75,4.33713E-26
ATH-04209,Mihai Phelps,Male,42,7/6/1982,DEN,Denmark,Luge,Men's Doubles,Winter,1976,Innsbruck,Team,No Medal,134.713,seconds,3,5,5,0,0,66,260,1896,10,No,John Smith,190.5,79.4,Record broken next day,1.84885E-83,3.28865E-35
ATH-04210,Fabio Babayev,Male,36,4/5/1988,ITA,Italy,Fencing,Epee Team M,Summer,1904,St. Louis,Individual,Bronze,4.002,touches,3,2,1,0,1,247,753,1900,4,No,Dan Pfaff,173.2,86.6,Weather-affected,6.02831E-76,2.45526E-38
ATH-04211,Magdalena Kato,Female,34,5/17/1990,GER,Germany,Ice Hockey,Women's Ice Hockey,Winter,1980,Lake Placid,Team,Silver,11.827,goals,1,1,0,1,0,275,854,1896,2,No,John Smith,192.4,80.5,Youngest competitor,2.7653E-84,1.0947E-35
ATH-04212,Piotr Kowalski,Male,29,11/2/1995,KEN,Kenya,Cycling,Omnium,Summer,2004,Athens,Individual,No Medal,9261.116,seconds,1,0,0,0,0,38,109,1956,20,No,Lauren Lynde,193.6,82.2,-,8.32891E-85,1.99983E-36
ATH-04213,Alexei Choi,Male,39,6/16/1985,JPN,Japan,Athletics,400m Hurdles,Summer,1912,Stockholm,Individual,Gold,195.11,seconds,3,2,1,0,1,170,497,1912,3,No,John Smith,203.1,92.7,-,6.23434E-89,5.50683E-41
ATH-04214,Arsen Tashkentov,Male,15,6/8/2009,UZB,Uzbekistan,Triathlon,Women's Triathlon,Summer,1996,Atlanta,Individual,No Medal,5070.217,seconds,4,1,1,0,0,14,40,1996,32,No,Bao Chünlai,167.8,74.3,Olympic Debut,1.33471E-73,5.39411E-33
ATH-04215,Paolo Gebremariam,Male,40,12/7/1984,AUS,Australia,Boxing,Light Heavyweight,Summer,1920,Antwerp,Individual,Silver,3.682,points,5,4,2,1,1,170,554,1896,4,No,Vladimir Alekna,158.6,91,-,1.32098E-69,3.01441E-40
ATH-04216,Hakki Shah,Male,24,5/24/2000,NED,Netherlands,Alpine Skiing,Downhill M,Winter,2002,Salt Lake City,Individual,No Medal,134.196,seconds,2,5,2,3,0,121,380,1900,7,Olympic Record,Li Yongbo,181.5,63.5,First from country,1.49814E-79,2.64424E-28
ATH-04217,Betty Anderson,Female,32,5/10/1992,ESP,Spain,Football (Soccer),Women's Football,Summer,1920,Antwerp,Team,No Medal,7.906,goals,5,0,0,0,0,50,170,1900,18,No,Li Yongbo,179.3,77.5,Disqualified (false start),1.35207E-78,2.19876E-34
ATH-04218,Nikolai Sokolov,Male,41,12/20/1983,DEN,Denmark,Ski Jumping,Normal Hill Team,Winter,1992,Albertville,Team,No Medal,103.151,metres,3,2,1,0,1,66,260,1896,10,No,Anna Tarkhanova,177.3,57.6,Record broken next day,9.99053E-78,9.65246E-26
ATH-04219,Flaviu Perez,Male,22,10/24/2002,KOR,South Korea,Swimming,100m Butterfly,Summer,2020,Tokyo,Individual,No Medal,305.198,seconds,2,1,0,0,1,99,266,1948,5,No,Tadashi Suzuki,178.8,60.2,Photo-finish silver,2.22919E-78,7.16922E-27
ATH-04220,Irina Garcia,Female,34,3/21/1990,AUT,Austria,Biathlon,Pursuit W,Winter,1932,Lake Placid,Individual,Silver,2063.527,seconds,3,8,3,1,4,59,196,1896,18,No,Andrei Socaci,174.6,64.7,-,1.48656E-76,7.96429E-29
ATH-04221,Oleksandr Dibaba,Male,33,11/24/1991,ETH,Ethiopia,Luge,Men's Doubles,Winter,2022,Beijing,Individual,No Medal,93.271,seconds,1,1,0,1,0,25,57,1956,30,No,Glen Mills,179.2,92.2,Comeback after injury,1.49427E-78,9.07922E-41
ATH-04222,Ashley Sanchez,Female,16,9/12/2008,AZE,Azerbaijan,Fencing,Epee Individual W,Summer,2008,Beijing,Individual,Silver,7.698,touches,1,1,0,1,0,7,29,1996,45,Olympic Record,Marcus O'Sullivan,176.4,59.6,Oldest medalist,2.45727E-77,1.30632E-26
ATH-04223,Dorothy Kuznetsov,Female,39,2/3/1985,DEN,Denmark,Curling,Mixed Doubles Curling,Winter,1928,St. Moritz,Team,No Medal,10.009,points,1,2,2,0,0,66,260,1896,10,No,Bob Bowman,166.3,72.9,Youngest competitor,5.98174E-73,2.18742E-32
ATH-04224,Lela Nozadze,Female,32,2/25/1992,IND,India,Shooting,10m Air Rifle M,Summer,1904,St. Louis,Individual,No Medal,187.313,points,1,5,3,2,0,10,35,1900,48,No,Wei Ping,173,80.4,-,7.363E-76,1.20983E-35
ATH-04225,Miho Shevchenko,Female,37,6/22/1987,ITA,Italy,Boxing,Flyweight,Summer,1912,Stockholm,Individual,No Medal,4.532,points,3,1,1,0,0,247,753,1900,4,No,Gennadi Touretski,163.5,74.9,Technical violation,9.83676E-72,2.96035E-33
ATH-04226,John Miller,Male,41,4/1/1983,ITA,Italy,Weightlifting,55kg,Summer,1920,Antwerp,Individual,No Medal,239.392,kg,1,5,5,0,0,247,753,1900,4,No,Khristo Hristov,176.1,70.1,First from country,3.31697E-77,3.59714E-31
ATH-04227,Daniel Lochte,Male,24,10/13/2000,KAZ,Kazakhstan,Short Track Speed Skating,5000m Relay M,Winter,1998,Nagano,Individual,No Medal,65.154,seconds,5,6,3,3,0,21,66,1996,30,No,Dan Pfaff,164.9,76.8,Olympic Debut,2.42572E-72,4.42776E-34
ATH-04228,Luca Yang,Male,42,3/21/1982,COL,Colombia,Weightlifting,61kg,Summer,1996,Atlanta,Individual,No Medal,394.192,kg,1,4,1,3,0,8,24,1932,48,No,Tadashi Suzuki,162.9,56.4,-,1.79238E-71,3.20473E-25
ATH-04229,Juan Rodriguez,Male,19,6/20/2005,BEL,Belgium,Swimming,200m Breaststroke,Summer,1904,St. Louis,Individual,No Medal,52.116,seconds,5,8,3,4,1,43,158,1900,20,No,Li Yongbo,170.4,60.7,Personal Best,9.91335E-75,4.34835E-27
ATH-04230,Michelle Sokolov,Female,27,1/23/1997,NOR,Norway,Wrestling,Freestyle 74kg,Summer,1904,St. Louis,Individual,No Medal,2.477,points,2,7,3,1,3,148,392,1900,2,No,Lauren Lynde,180.1,91.1,-,6.07525E-79,2.72755E-40
ATH-04231,Natsuki Volkov,Male,23,4/13/2001,CUB,Cuba,Alpine Skiing,Slalom W,Winter,1972,Sapporo,Individual,No Medal,83.987,seconds,1,8,6,2,0,82,226,1900,8,No,Franz Stampfl,170.5,62.2,First from country,8.96997E-75,9.70249E-28
ATH-04232,Jiri Orlov,Male,16,4/17/2008,AUT,Austria,Tennis,Women's Doubles,Summer,1896,Athens,Individual,No Medal,1.91,sets,4,5,3,1,1,59,196,1896,18,No,Alberto Salazar,195.6,64.4,Equipment issue,1.1272E-85,1.07507E-28
ATH-04233,Carina Johnson,Female,24,3/16/2000,USA,United States,Triathlon,Men's Triathlon,Summer,1906,Athens,Individual,No Medal,6624.221,seconds,2,0,0,0,0,1061,2638,1896,1,No,Li Yongbo,182.3,64.6,Olympic Debut,6.73156E-80,8.8019E-29
ATH-04234,Patrick Kvinikadze,Male,23,3/11/2001,AUS,Australia,Luge,Team Relay,Winter,1936,Garmisch-Partenkirchen,Individual,No Medal,69.662,seconds,2,6,6,0,0,170,554,1896,4,No,Alberto Salazar,186,84.7,Oldest medalist,1.66428E-81,1.64156E-37
ATH-04235,Leyla Nikitin,Female,15,6/12/2009,AUT,Austria,Skeleton,Women's Skeleton,Winter,1948,St. Moritz,Individual,No Medal,88.43,seconds,2,8,4,4,0,59,196,1896,18,No,Gennadi Touretski,166.2,69.7,Withdrew - injury,6.61085E-73,5.3663E-31
ATH-04236,Iryna Sargsyan,Female,41,11/23/1983,KEN,Kenya,Cycling,Sprint,Summer,2024,Paris,Individual,Gold,10676.787,seconds,2,7,6,0,1,38,109,1956,20,No,Bob Bowman,180.7,70,National Record,3.33417E-79,3.97545E-31
ATH-04237,Lisa Orlov,Female,16,7/6/2008,CUB,Cuba,Judo,Middleweight,Summer,1904,St. Louis,Individual,No Medal,7.622,ippon,1,0,0,0,0,82,226,1900,8,No,Li Yongbo,188.3,49.9,Olympic Debut,1.66859E-82,2.1316E-22
ATH-04238,Lilit Kim,Female,21,11/10/2003,ARG,Argentina,Basketball,Men's Basketball,Summer,2000,Sydney,Team,No Medal,37.767,points,2,8,0,1,7,23,77,1920,30,No,Andrei Chemerkin,214.6,118,Weather-affected,6.31545E-94,5.66567E-52
ATH-04239,Steven Dubois,Male,20,6/9/2004,TPE,Chinese Taipei,Freestyle Skiing,Big Air W,Winter,1964,Innsbruck,Individual,No Medal,51.37,points,1,8,2,3,3,7,25,1956,45,No,Virgilijus Alekna,176.8,75.6,First from country,1.64716E-77,1.47007E-33
ATH-04240,Mei Patel,Female,42,9/23/1982,AUT,Austria,Judo,Middleweight,Summer,1904,St. Louis,Individual,No Medal,6.351,ippon,1,0,0,0,0,59,196,1896,18,No,Andrei Chemerkin,175.4,70.2,-,6.67956E-77,3.25482E-31
ATH-04241,Olga Thomas,Female,23,5/26/2001,GER,Germany,Speed Skating,5000m M,Winter,2006,Turin,Individual,No Medal,695.521,seconds,1,1,1,0,0,275,854,1896,2,Olympic Record,Bob Bowman,175.6,92.8,Season Best,5.46876E-77,4.98278E-41
ATH-04242,Svetlana Müller,Female,33,8/7/1991,GER,Germany,Bobsled,Monobob W,Winter,1968,Grenoble,Team,No Medal,180.937,seconds,2,0,0,0,0,275,854,1896,2,No,Tadashi Suzuki,199.7,96,-,1.86806E-87,2.03109E-42
ATH-04243,Svetlana Okonkwo,Female,34,4/28/1990,CHN,China,Alpine Skiing,Super-G W,Winter,2002,Salt Lake City,Individual,No Medal,88.7,seconds,1,6,1,4,1,263,636,1932,1,No,Wei Ping,181.3,83,Personal Best,1.82983E-79,8.98583E-37
ATH-04244,Razvan Biles,Male,31,10/25/1993,PAK,Pakistan,Skeleton,Women's Skeleton,Winter,1960,Squaw Valley,Individual,Silver,52.886,seconds,3,2,1,1,0,10,22,1948,45,No,John Smith,190,83.7,Oldest medalist,3.04823E-83,4.46223E-37
ATH-04245,Jennifer Melnyk,Female,35,12/12/1989,DEN,Denmark,Freestyle Skiing,Big Air W,Winter,1972,Sapporo,Individual,No Medal,81.398,points,3,6,4,0,2,66,260,1896,10,No,Lauren Lynde,183.3,72.4,-,2.4764E-80,3.60645E-32
ATH-04246,Oksana Kowalczyk,Female,36,9/15/1988,SWE,Sweden,Cycling,Individual Time Trial,Summer,1900,Paris,Individual,No Medal,11137.466,seconds,1,1,0,0,1,200,648,1896,4,No,Jon Drummond,171.2,69.6,First from country,4.45435E-75,5.93067E-31
ATH-04247,Regzedmaa Meyer,Male,36,8/19/1988,BRA,Brazil,Figure Skating,Ice Dance,Winter,2002,Salt Lake City,Individual,No Medal,270.036,points,5,3,1,1,1,37,152,1920,20,No,Dan Pfaff,163.8,48.2,-,7.28725E-72,1.16683E-21
ATH-04248,Tamar Harris,Female,35,11/1/1989,ARMinistration,Armenia,Cross-Country Skiing,4x10km Relay M,Winter,2022,Beijing,Team,No Medal,7405.906,seconds,3,5,1,0,4,4,18,1996,50,No,Arthur Lydiard,167.3,58.6,-,2.20056E-73,3.55094E-26
ATH-04249,Linda Sokolov,Female,27,11/27/1997,ITA,Italy,Ski Jumping,Normal Hill Team,Winter,1976,Innsbruck,Team,Gold,93.794,metres,5,8,1,6,1,247,753,1900,4,No,Béla Károlyi,175.2,67.9,Personal Best,8.15843E-77,3.24642E-30
ATH-04250,Agnieszka Martin,Female,30,3/19/1994,IND,India,Swimming,400m Freestyle,Summer,1906,Athens,Individual,No Medal,204.258,seconds,2,5,0,2,3,10,35,1900,48,No,Alberto Salazar,170.5,76.2,-,8.96997E-75,8.0679E-34
ATH-04251,Carol Kamau,Female,15,8/14/2009,FRA,France,Swimming,200m Freestyle,Summer,2000,Sydney,Individual,Silver,666.559,seconds,3,2,0,1,1,248,844,1896,3,No,Hiroshi Hoketsu,169.5,70.8,Season Best,2.43829E-74,1.78628E-31
ATH-04252,Oksana Thomas,Female,42,11/2/1982,AUT,Austria,Skeleton,Men's Skeleton,Winter,1948,St. Moritz,Individual,No Medal,199.575,seconds,4,8,2,3,3,59,196,1896,18,No,Andrei Chemerkin,168.4,101.2,Technical violation,7.32503E-74,1.12047E-44
ATH-04253,Yohan Yohannes,Male,26,7/24/1998,ROM,Romania,Figure Skating,Men's Singles,Winter,1988,Calgary,Individual,Gold,319.694,points,5,2,2,0,0,89,307,1924,8,Olympic Record,Jon Drummond,166.3,69.6,-,5.98174E-73,5.93067E-31
ATH-04254,Natalya Bernard,Female,18,8/13/2006,BEL,Belgium,Tennis,Men's Singles,Summer,1912,Stockholm,Individual,No Medal,3.095,sets,4,8,7,1,0,43,158,1900,20,No,Khristo Hristov,184.6,64.7,Olympic Debut,6.74899E-81,7.96429E-29
ATH-04255,Deepika Schmidt,Female,24,8/15/2000,GBR,Great Britain,Cross-Country Skiing,Team Sprint W,Winter,1952,Oslo,Individual,No Medal,8409.814,seconds,2,5,2,3,0,285,896,1896,2,No,Lauren Lynde,183,62.2,National Record,3.3428E-80,9.70249E-28
ATH-04256,Naim Garcia,Male,24,4/27/2000,URS,Soviet Union,Judo,Middleweight,Summer,2000,Sydney,Individual,No Medal,4.237,ippon,3,2,0,1,1,473,1122,1952,1,No,Lauren Lynde,176.5,51.6,Comeback after injury,2.22343E-77,3.89408E-23
ATH-04257,Kiran Phelps,Male,34,3/24/1990,SWE,Sweden,Figure Skating,Ice Dance,Winter,1972,Sapporo,Individual,No Medal,219.654,points,1,0,0,0,0,200,648,1896,4,World Record,Renato Canova,176.6,65,Withdrew - injury,2.01184E-77,5.90009E-29
ATH-04258,Irina Sokolov,Female,31,3/17/1993,BRA,Brazil,Athletics,Long Jump,Summer,1920,Antwerp,Individual,No Medal,291.058,seconds,2,1,1,0,0,37,152,1920,20,No,Yury Zakharevich,202.6,108.4,Olympic Debut,1.02787E-88,8.36524E-48
ATH-04259,Iryna Orlov,Female,20,9/16/2004,CAN,Canada,Cross-Country Skiing,Team Sprint M,Winter,1936,Garmisch-Partenkirchen,Individual,No Medal,7724.336,seconds,2,0,0,0,0,118,381,1900,6,No,Gennadi Touretski,190,74.1,Technical violation,3.04823E-83,6.58838E-33
ATH-04260,Svetlana Gupta,Female,17,7/7/2007,CAN,Canada,Weightlifting,109kg,Summer,1906,Athens,Individual,No Medal,367.588,kg,5,8,3,1,4,118,381,1900,6,No,Lauren Lynde,179.4,112.9,Comeback after injury,1.2234E-78,9.29294E-50
ATH-04261,Paul Clark,Male,39,9/1/1985,ROM,Romania,Curling,Mixed Doubles Curling,Winter,1972,Sapporo,Team,No Medal,8.202,points,5,6,3,0,3,89,307,1924,8,No,Béla Károlyi,182.1,104,-,8.22195E-80,6.81356E-46
ATH-04262,Klaus Bondarenko,Male,18,5/8/2006,GRE,Greece,Rowing,Quadruple Sculls W,Summer,1904,St. Louis,Team,No Medal,407.245,seconds,3,0,0,0,0,34,116,1896,10,No,Arthur Lydiard,199.5,76.3,-,2.28166E-87,7.30014E-34
ATH-04263,Juan Hernandez,Male,21,1/20/2003,DEN,Denmark,Cycling,Team Pursuit,Summer,1896,Athens,Individual,No Medal,8062.686,seconds,5,7,7,0,0,66,260,1896,10,No,Béla Károlyi,179.3,70.5,Oldest medalist,1.35207E-78,2.41123E-31
ATH-04264,Jessica Fischer,Female,38,10/5/1986,FIN,Finland,Freestyle Skiing,Big Air W,Winter,1984,Sarajevo,Individual,No Medal,68.065,points,4,4,2,0,2,161,459,1908,3,No,Yury Zakharevich,178,81.4,Disqualified (false start),4.96115E-78,4.45071E-36
ATH-04265,Darya Liu,Female,32,1/10/1992,GER,Germany,Ice Hockey,Men's Ice Hockey,Winter,2018,PyeongChang,Team,No Medal,0.327,goals,1,5,4,0,1,275,854,1896,2,No,Percy Cerutty,177.1,85,First from country,1.22025E-77,1.2161E-37
ATH-04266,Isabelle Martin,Female,21,9/28/2003,GER,Germany,Gymnastics (Artistic),Parallel Bars,Summer,1896,Athens,Individual,No Medal,16.26,points,5,1,0,1,0,275,854,1896,2,No,John Smith,167.8,73.2,Oldest medalist,1.33471E-73,1.62048E-32
